brand, name, premium
Nike, Air Force 1 Low Swoosh Pack All-Star 2018 White (GS), 64.21
Nike, Air Force 1 Low Taiwan (2018), 78.46
Nike, Air Force 1 Low Tartan White (W), 87
Nike, Air Force 1 Low Think 16 (Fo Fi Fo), -14.62
Nike, Air Force 1 Low Tisci Black, 46.96
Nike, Air Force 1 Low Tisci Tan, 15.22
Nike, Air Force 1 Low Tisci White, 67.39
Nike, Air Force 1 Low Travis Scott (AF100), 270
Nike, Air Force 1 Low Travis Scott Sail, 108.67
Nike, Air Force 1 Low Triple White Leather Woven (GS), -49.41
Nike, Air Force 1 Low UNDFTD Green Bean, -58.33
Nike, Air Force 1 Low UNDFTD Green-Olive, -8
Nike, Air Force 1 Low Ultra Robert Kraft Patriots, 126.43
Nike, Air Force 1 Low UltraForce N7, -23.33
Nike, Air Force 1 Low Ultraforce RKK Patriots, 5.33
Nike, Air Force 1 Low Ultraviolet Siren Red, -48
Nike, Air Force 1 Low University Red, -20.83
Nike, Air Force 1 Low Utility Black White, 26
Nike, Air Force 1 Low Utility Carhartt WIP Camo, -18.79
Nike, Air Force 1 Low Utility Olive Canvas, 24
Nike, Air Force 1 Low Utility Olive Canvas (GS), 35
Nike, Air Force 1 Low Utility Team Orange, 27
Nike, Air Force 1 Low Utility White Black, 27
Nike, Air Force 1 Low Utility White Black (GS), 22.35
Nike, Air Force 1 Low Utility maharishi White, 40.62
Nike, Air Force 1 Low VLONE (2017), 638.4
Nike, Air Force 1 Low Vac Tech Black, -31.03
Nike, Air Force 1 Low Vachetta Tan, 0
Nike, Air Force 1 Low Valentine's Day 2018 (W), 49.09
Nike, Air Force 1 Low Valentines Day (2006), 20.91
Nike, Air Force 1 Low Vast Grey Black, -12.22
Nike, Air Force 1 Low Vintage Wine, -27.78
Nike, Air Force 1 Low Werewolf (GS), -31.58
Nike, Air Force 1 Low West Indies 2, 27.78
Nike, Air Force 1 Low What The 90s (GS), 28.24
Nike, Air Force 1 Low White 2018 (W), 30
Nike, Air Force 1 Low White Black Orange, -28
Nike, Air Force 1 Low White Total Orange (2012), -44.44
Nike, Air Force 1 Low White Yellow Ochre, 4.44
Nike, Air Force 1 Low Wildwood, -12.5
Nike, Air Force 1 Low Winter Camo, 17
Nike, Air Force 1 Low Winter Flax (GS), 17.78
Nike, Air Force 1 Low Wolf Grey Pure Platinum, -5.56
Nike, Air Force 1 Low Wolf Grey White, 12.22
Nike, Air Force 1 Low Year of the Dragon 1, -4
Nike, Air Force 1 Low Year of the Dragon 2, -24
Nike, Air Force 1 Low Year of the Dragon 3, -18
Nike, Air Force 1 Low Year of the Rabbit, 63.2
Nike, Air Force 1 Low Yeezy, 77
Nike, Air Force 1 Mid Black (2016), -16.84
Nike, Air Force 1 Mid Black Gum Volt (GS), -55.79
Nike, Air Force 1 Mid Black Royal (2015), 0
Nike, Air Force 1 Mid Bred, 1.05
Nike, Air Force 1 Mid Bright Melon (W), -23.81
Nike, Air Force 1 Mid CMFT Victor Cruz, -21.14
Nike, Air Force 1 Mid CMFT Victor Cruz White, 7.43
Nike, Air Force 1 Mid Canvas Desert Sand Vivid Sulfur, -31.43
Nike, Air Force 1 Mid Cork, 47.83
Nike, Air Force 1 Mid Flax (2016), 49.23
Nike, Air Force 1 Mid Flyknit Multi-Color Black, -46.29
Nike, Air Force 1 Mid Flyknit Multi-Color White, -19.43
Nike, Air Force 1 Mid Grove Green Black, -31.58
Nike, Air Force 1 Mid N7, -25.93
Nike, Air Force 1 Mid NYC Obsidian Orange, -13.94
Nike, Air Force 1 Mid Red Suede (GS), 17.65
Nike, Air Force 1 Mid Ridgerock Black, -22.11
Nike, Air Force 1 Mid Sail University Red, -42.86
Nike, Air Force 1 Mid Supreme Charles Barkley, -40
Nike, Air Force 1 Mid Supreme NBA Black, 39.39
Nike, Air Force 1 Mid Supreme NBA White, 63.64
Nike, Air Force 1 Mid Terra Orange, -26.32
