type, total_sales
Air Max, 5
Ultraboost, 120
SB, 3
Kobe, 16
Lebron, 6
Other, 4
Reebok, 2
Other, 6
Saucony, 1
NMD, 426
1, 2
12, 143
Puma, 29
KD, 4
SB, 44
2, 10
Lebron, 15
NMD, 2172
Spizike, 12
Lebron, 1
Basketball, 2
Other, 1
5, 28
Converse, 2
Reebok, 3
Other, 9
9, 67
Basketball, 722
KD, 12
SB, 3
SB, 13
Air Max, 87
Lebron, 262
Kobe, 118
NMD, 33
SB, 14
Ultraboost, 148
Air Max, 5
10, 91
Other, 2
NMD, 8
Air Max, 533
Other, 7
1, 25
10, 1230
Air Force, 6
Kobe, 73
1, 13
Ultraboost, 188
Other, 2
8, 3
Other, 2
Kobe, 2
Other, 4
1, 25
Air Max, 132
KD, 11
SB, 21
Other, 10
Air Max, 5
Basketball, 4
Foamposite, 176
Lebron, 4
SB, 12
Air Force, 15
SB, 5
Ultraboost, 27
Air Max, 2
KD, 21
13, 287
4, 2
1, 3
Vans, 3
New Balance, 4
Other, 11
Lebron, 10
Other, 2
SB, 14
SB, 4
Air Force, 1
5, 71
1, 1555
Packs, 19
SB, 26
Ultraboost, 9
1, 836
Lebron, 76
Puma, 22
Air Force, 984
Vans, 9
1, 22
Other, 160
Air Max, 12
New Balance, 2
Air Force, 8
16-33, 382
Other, 29
Basketball, 13
Other, 1
Air Force, 30
SB, 1226
5, 28
Under Armour, 1
Vans, 1
Reebok, 1
Under Armour, 8
Air Force, 55
1, 314
Air Force, 3
Puma, 3
New Balance, 6
Air Max, 58
Air Max, 3
KD, 49
1, 5
KD, 8
Other, 1
SB, 7
Air Force, 24
Air Max, 49
Air Max, 507
Other, 27
Ultraboost, 110
Other, 49
Vans, 1
Other, 5
Vans, 1
Under Armour, 5
Puma, 5
10, 74
Other, 97
Other, 9
Air Max, 3
4, 34
NMD, 78
1, 1
KD, 76
Basketball, 6
16-33, 2
Other, 10
Other, 100
Lebron, 8
1, 5
16-33, 5
Air Force, 34
13, 4
Ultraboost, 2
Air Max, 17
Air Max, 1521
Vans, 3
Under Armour, 2
5, 50
Basketball, 2
Air Max, 40
10, 44
Basketball, 5
Foamposite, 3152
SB, 198
Puma, 28
Other, 10
New Balance, 16
6, 41
Vans, 2
1, 250
Other, 6
Other, 8
Other, 63
Air Force, 385
SB, 17
9, 7
Air Max, 185
Ultraboost, 43
Lebron, 41
Other, 5
Ultraboost, 13
Other, 8
SB, 11
13, 6
KD, 1
14, 46
Kobe, 1
Vans, 316
Ultraboost, 2610
Other, 953
Puma, 2
1, 9
SB, 55
Air Force, 1
5, 66
Air Max, 770
Lebron, 10
Vans, 334
Yeezy, 426
Other, 1185
Other, 3
Other, 18
Saucony, 6
NMD, 8
Reebok, 1
Vans, 53
Vans, 15
SB, 1
NMD, 16
SB, 17
Ultraboost, 576
Other, 6
13, 10
Ultraboost, 2
1, 264
6, 59
Air Max, 34
Basketball, 14
Air Max, 232
3, 49
KD, 7
16-33, 19
SB, 5
Other, 4
1, 58
Other, 10
16-33, 12
SB, 7
SB, 1
SB, 11
KD, 14
Air Max, 40
SB, 104
Puma, 557
Air Force, 12
Air Force, 1260
Other, 2
SB, 16
Ultraboost, 24
Foamposite, 6
Spizike, 3
SB, 8
NMD, 576
KD, 23
SB, 1
New Balance, 1
Basketball, 56
Air Max, 151
Vans, 235
Basketball, 11
1, 8
1, 156
Other, 9
Air Max, 11
8, 14
Basketball, 21
Puma, 1
6, 9
Under Armour, 107
Other, 19
Converse, 34
1, 26
SB, 6
Asics, 16
Ultraboost, 60
Other, 8
16-33, 34
Asics, 16
Other, 30
Converse, 107
Air Force, 34
Lebron, 10
Converse, 4
Air Max, 4
1, 147
NMD, 1313
Saucony, 1
Other, 6
Other, 2
Other, 4
Kobe, 34
Basketball, 6
Air Force, 2
Other, 191
Under Armour, 1
Air Force, 49
Kobe, 2
Other, 55
1, 7
Lebron, 16
Other, 2
SB, 7
Ultraboost, 1233
Air Max, 51
Basketball, 31
Basketball, 2
1, 16
Asics, 61
Lebron, 262
Other, 12
