brand, type, premium, total_sales, avg_sale_price
Nike, Air Force, -57.14, 1, 60
Nike, Air Force, -58.86, 7, 72
Nike, Air Force, -43.43, 6, 99
Nike, Air Force, -62.5, 14, 45
Nike, Air Force, -22.22, 1, 70
Nike, Air Force, -19, 24, 81
Nike, Air Force, -36.67, 34, 57
Nike, Air Force, -23.64, 11, 84
Nike, Air Force, -44, 13, 112
Nike, Air Force, -28, 7, 144
Nike, Air Force, -11.11, 1, 160
Nike, Air Force, -21.43, 2, 110
Nike, Air Force, -12.5, 5, 175
Nike, Air Force, -46.92, 20, 69
Nike, Air Force, -13.57, 7, 121
Nike, Air Force, 2.86, 28, 144
Nike, Air Force, -20, 55, 120
Nike, Air Force, 18.82, 23, 101
Nike, Air Force, -26.67, 33, 121
Nike, Air Force, 0, 1, 150
Nike, Air Force, 8.97, 447, 158
Nike, Air Force, -8.28, 3, 133
Nike, Air Force, -9.66, 5, 131
Nike, Air Force, 6, 102, 106
Nike, Air Force, 29.66, 175, 188
Nike, Air Force, -25.38, 17, 97
Nike, Air Force, 25, 1, 75
Nike, Air Force, 233.33, 1, 200
Nike, Air Force, -21.25, 299, 126
Nike, Air Force, -31.87, 61, 109
Nike, Air Force, -21.25, 9, 126
Nike, Air Force, -28.12, 34, 115
Nike, Air Force, 25, 628, 200
Nike, Air Force, -13.75, 467, 138
Nike, Air Force, -11.43, 2, 155
Nike, Air Force, -42.29, 14, 101
Nike, Air Force, -18.13, 385, 131
Nike, Air Force, -65.38, 1, 225
Nike, Air Force, 16, 5, 232
Nike, Air Force, -30.67, 38, 104
Nike, Air Force, -66.29, 4, 59
Nike, Air Force, 29.5, 750, 259
Nike, Air Force, 166.5, 24, 533
Nike, Air Force, 227, 28, 654
Nike, Air Force, 113, 19, 426
Nike, Air Force, -36, 13, 112
Nike, Air Force, 2, 24, 153
Nike, Air Force, 194.67, 3, 442
Nike, Air Force, -38.12, 15, 99
Nike, Air Force, -25, 2, 90
Nike, Air Force, -5.6, 2, 118
Nike, Air Force, -25.56, 38, 67
Nike, Air Force, 2.35, 14, 174
Nike, Air Force, -37.58, 90, 103
Nike, Air Force, -26.67, 173, 121
Nike, Air Force, -11.25, 13, 71
Nike, Air Force, -45.29, 9, 93
Nike, Air Force, -29.7, 43, 116
Nike, Air Force, -47.65, 22, 89
Nike, Air Force, -38.57, 43, 86
Nike, Air Force, 17.86, 2, 165
Nike, Air Force, -41.43, 10, 82
Nike, Air Force, -26, 47, 111
Nike, Air Force, -30.3, 1, 115
Nike, Air Force, -43.53, 111, 96
Nike, Air Force, -47.65, 12, 89
Nike, Air Force, -62.5, 13, 60
Nike, Air Force, -38.89, 107, 110
Nike, Air Force, -49.5, 14, 101
Nike, Air Force, -29.09, 4, 78
Nike, Air Force, -40, 4, 75
Nike, Air Force, -32.59, 1, 91
Nike, Air Force, -27.37, 14, 69
Nike, Air Force, -56, 12, 88
Nike, Air Force, -39.44, 128, 109
Nike, Air Force, -58.33, 110, 75
Nike, Air Force, -54.44, 206, 82
Nike, Air Force, -13.89, 242, 155
Nike, Air Force, -43.48, 2, 130
Nike, Air Force, -54.35, 9, 105
Nike, Air Force, -37.84, 632, 115
Nike, Air Force, -50.81, 105, 91
