type, total_sales, name
KD, 2, KD 5 Thunder Away
KD, 16, KD 6 Brazil
KD, 3, KD 6 Elite Fragment Chino
KD, 30, KD 7 Gold Medal
KD, 12, KD 7 Lightning 534
KD, 30, KD 7 USA
KD, 2, KD 8 Perserverance
KD, 15, KD 8 Photo Blue
KD, 8, KD 9 Elite Flip the Switch
KD, 41, KD 9 Elite Pale Grey
KD, 4, KD 9 Elite Pearl Pink
KD, 14, KD 9 Elite Time to Shine
KD, 131, KD 11 Multi-Color
KD, --, Nike KD Trey 5 IV White Black Multi-Color
KD, 4, KD 10 PK80
KD, 5, KD 10 Peach Jam
KD, --, KD 11 Scrooge PE
KD, --, KD 4 EYBL
KD, --, KD 4 Entourage
KD, --, KD 5 BHM (GS)
KD, 1, KD 5 Home
KD, --, KD 6 BHM (GS)
KD, 11, KD 6 Elite Gold
KD, 4, KD 6 Hero Pack
KD, 2, KD 6 Liger (GS)
KD, --, KD 6 NSW Birthday
KD, 1, KD 6 Team
KD, --, KD 7 35,000 Degrees (GS)
KD, 10, KD 7 Clearwater
KD, 1, KD 7 NSW White Ice Blue
KD, 3, KD 8 Aunt Pearl (GS)
KD, 3, KD 6 Elite EYBL
Kobe, --, KB Mentality 2 Black Volt Wolf Grey
Kobe, 10, Kobe 1 2006 All-Star
Kobe, 6, Kobe 1 Black Maize
Kobe, 6, Kobe 1 Black Mamba
Kobe, 33, Kobe 1 Black Mamba Collection Fade to Black
Kobe, 3, Kobe 1 Blackout
Kobe, 57, Kobe 1 Prelude (81 Points)
Kobe, 131, Kobe 1 Protro 81 Pt Game
Kobe, 1417, Kobe 1 Protro Black Maize
Kobe, 27, Kobe 1 Protro DeMar DeRozan
Kobe, 34, Kobe 1 Protro Devin Booker PE
Kobe, 505, Kobe 1 Protro MPLS
Kobe, 828, Kobe 1 Protro Mamba Day
Kobe, 1751, Kobe 1 Protro Think 16 (Close Out)
Kobe, 1806, Kobe 1 Protro Undefeated Camo
Kobe, 20, Kobe 1 Protro Undefeated Flight Jacket
