name, premium, brand, retail_price
Air Max 97 Red Crush (W), 1.88, Nike, 160
Air Max 97 Silver Bullet (2016-2017), 54.71, Nike, 170
Air Max 97 Steelers (2018), -18.75, Nike, 160
Air Max 98 AOP Black, -8.75, Nike, 160
Air Max 98 Exotic Skins, 3.53, Nike, 170
Air Max 98 White, 7.5, Nike, 160
Air Max BW Persian Violet (2016), -11.67, Nike, 120
Air Max Deluxe Triple White, -35.5, Nike, 200
Air Max Plus 97 Layer Cake, -11.88, Nike, 160
Air VaporMax 2 Rust Pink (W), 18.95, Nike, 190
Air VaporMax 2 White Black, -8.42, Nike, 190
Air VaporMax 2.0 Ultramarine (W), -12.63, Nike, 190
Air VaporMax 2019 Club Gold Ember Glow, -19.47, Nike, 190
Air VaporMax CS Midnight Fog, -35.43, Nike, 175
Air VaporMax Flyknit 2 Golden Beige Racer Blue, -23.16, Nike, 190
Air VaporMax Flyknit 2 White Pure Platinum, 5.79, Nike, 190
Air VaporMax Flyknit 2 White Vast Grey, -9.47, Nike, 190
Air VaporMax Moc 2 Black Light Cream, -12, Nike, 200
Air VaporMax Moc 2 University Gold (W), 19.5, Nike, 200
Air VaporMax Off-White Black, 150.8, Nike, 250
Air VaporMax Plus Betrue (2018), 43.68, Nike, 190
Air VaporMax Plus Black Team Red Hyper Violet (W), 20.53, Nike, 190
Air VaporMax Plus White Pure Platinum, -13.16, Nike, 190
Air VaporMax Plus Wolf Grey Black, -3.68, Nike, 190
Air VaporMax Triple Black 3.0, 41.58, Nike, 190
Air VaporMax Utility Black Volt Bright Crimson, -24, Nike, 225
Air VaporMax Utility Triple Black, -11.56, Nike, 225
Air Max 1 Air Max 93 Logo Elemental Gold, -38.46, Nike, 130
Air Max 1 Atmos We Love Nike (Game Royal), -27.14, Nike, 140
Air Max 1 Safari (2018), 78.75, Nike, 160
Air Max 720 Northern Lights Night, 7.78, Nike, 180
Air Max 90 Off-White Desert Ore, 291.88, Nike, 160
Air Max 95 Triple Black (2014-2016-2018), -13.12, Nike, 160
Air Max 97 Metallic Gold (Italy), 47.5, Nike, 160
Air Max 98 Tour Yellow, 28.75, Nike, 160
Air VaporMax 97 Silver Bullet, 3.16, Nike, 190
Air VaporMax Plus Shark, 4.74, Nike, 190
Air VaporMax Triple White, 10, Nike, 190
Air VaporMax Utility Clay Green, -31.56, Nike, 225
Air Max 97 Black Blue Nebula, -13.12, Nike, 160
Air Max 97 Reflective Silver, -6.47, Nike, 170
Air Max 97 Ultra 17 Wolf Grey Dark Grey, -15.62, Nike, 160
Air Max 97-BW Black Metallic Hematite, -38.82, Nike, 170
Air VaporMax 95 Comet, -34.21, Nike, 190
Air VaporMax 97 Metallic Cashmere (W), 47.37, Nike, 190
Nike Air Max 90 Leather Black, -26.67, Nike, 120
Air Bakin Posite Metallic Pewter, -33.78, Nike, 225
Air Command Force Billy Hoyle, -11.5, Nike, 200
Air Fear Of God 1 Black, 100.76, Nike, 395
Air Fear Of God 1 SA Black, 83.67, Nike, 300
Air Fear Of God 1 SA Light Bone Black, 67.67, Nike, 300
Air Flightposite One Dark Neon Royal, -19, Nike, 200
Air Flightposite One Legion Green, -37.5, Nike, 200
Air Force 270 Black White Silver, -36.88, Nike, 160
Air Force 270 Carnivore, -39.38, Nike, 160
Air Force 270 Olympic, -18.75, Nike, 160
Air Force 270 Think 16 (Gold Standard), 39.41, Nike, 170
Air Maestro 2 High Kith Purple, -38.42, Nike, 190
Air Maestro 2 High Kith Red, -42.63, Nike, 190
Air Maestro 2 Think 16 (Trifecta), -12.14, Nike, 140
Air Max Penny USA, -20, Nike, 160
