type, name, retail_price, total_sales, avg_sale_price, premium
Air Force, Air Force 1 Low Marbled Swoosh Turbo Green, 90, 1, 76, -15.56
Air Force, Air Force 1 Low Max Air VT Camo, 200, 10, 325, 62.5
Air Force, Air Force 1 Low Metallic Platinum Metallic Gold (W), 100, 1, 110, 10
Air Force, Air Force 1 Low Mineral Yellow Gum (W), 90, 1, 65, -27.78
Air Force, Air Force 1 Low Mini Swoosh Deep Royal Blue, 90, 23, 79, -12.22
Air Force, Air Force 1 Low Moon Particle (Moon Landing), 100, 52, 95, -5
Air Force, Air Force 1 Low Mowabb ACG, 150, 3, 148, -1.33
Air Force, Air Force 1 Low Mr. Cartoon Blue Tattoo (Clown), 249, 11, 289, 16.06
Air Force, Air Force 1 Low N7 (2018), 90, 37, 127, 41.11
Air Force, Air Force 1 Low NBA Amarillo, 100, 141, 134, 34
Air Force, Air Force 1 Low NBA Black White (GS), 85, 2, 80, -5.88
Air Force, Air Force 1 Low NBA Neptune Green, 100, 43, 73, -27
Air Force, Air Force 1 Low NBA Royal, 100, 19, 96, -4
Air Force, Air Force 1 Low NBA Team Red, 100, 29, 94, -6
Air Force, Air Force 1 Low NBA University Red, 100, 35, 93, -7
Air Force, Air Force 1 Low NBA White Black, 100, 84, 131, 31
Air Force, Air Force 1 Low NOLA Gumbo League "Crescent City", 160, 16, 122, -23.75
Air Force, Air Force 1 Low NRG Medal Stand, 200, 2, 140, -30
Air Force, Air Force 1 Low NYC Kith, 120, 68, 106, -11.67
Air Force, Air Force 1 Low NYC Obsidian Orange, 150, 22, 98, -34.67
Air Force, Air Force 1 Low NYC SOHO Exclusive Option 1, 275, 2, 225, -18.18
Air Force, Air Force 1 Low NYC SOHO Exclusive Option 2, 275, 3, 474, 72.36
Air Force, Air Force 1 Low Netherlands, 150, 2, 128, -14.67
Air Force, Air Force 1 Low Neutral Grey Black White, 80, 1, 90, 12.5
Air Force, Air Force 1 Low NikeConnect NYC, 150, 52, 260, 73.33
Air Force, Air Force 1 Low Northern Lights, 120, 11, 103, -14.17
Air Force, Air Force 1 Low Notting Hill Carnival, 90, 1, 190, 111.11
Air Force, Air Force 1 Low Off-White, 170, 854, 995, 485.29
Air Force, Air Force 1 Low Off-White Black White, 170, 3798, 508, 198.82
Air Force, Air Force 1 Low Off-White Black White (I), 50, 269, 95, 90
Air Force, Air Force 1 Low Off-White Black White (TD), 65, 646, 145, 123.08
Air Force, Air Force 1 Low Off-White Volt, 170, 3947, 391, 130
Air Force, Air Force 1 Low Off-White Volt (I), 50, 285, 95, 90
Air Force, Air Force 1 Low Off-White Volt (TD), 65, 719, 149, 129.23
Air Force, Air Force 1 Low Olympic (2012), 90, 3, 132, 46.67
Air Force, Air Force 1 Low Outdoor Green Velvet (W), 110, 2, 105, -4.55
Air Force, Air Force 1 Low Overbranding Bright Citron (W), 100, 9, 130, 30
Air Force, Air Force 1 Low PRM Thompson Original Six, 125, 7, 130, 4
Air Force, Air Force 1 Low Palm Green, 90, 4, 55, -38.89
Air Force, Air Force 1 Low Particle Beige (W), 110, 1, 120, 9.09
Air Force, Air Force 1 Low Particle Pink Gum (W), 100, 9, 87, -13
Air Force, Air Force 1 Low Penny Hardaway, 100, 8, 144, 44
Air Force, Air Force 1 Low Phantom Metallic Red Bronze (GS), 75, 1, 65, -13.33
Air Force, Air Force 1 Low Playstation (2018), 200, 984, 380, 90
Air Force, Air Force 1 Low Pony Hair Arctic Orange (W), 160, 1, 37, -76.88
Air Force, Air Force 1 Low Port Wine Velvet (W), 110, 5, 105, -4.55
Air Force, Air Force 1 Low Premier Beef and Broccoli, 130, 7, 156, 20
Air Force, Air Force 1 Low Purple Stardust, 150, 8, 79, -47.33
Air Force, Air Force 1 Low Realtree Black, 100, 54, 134, 34
Air Force, Air Force 1 Low Realtree Orange, 100, 18, 126, 26
Air Force, Air Force 1 Low Realtree White, 100, 48, 122, 22
Air Force, Air Force 1 Low Reflect Black Volt, 100, 1, 130, 30
Air Force, Air Force 1 Low Reflective Duck Camo, 100, 33, 113, 13
Air Force, Air Force 1 Low Reflective Woodland Camo, 100, 30, 111, 11
Air Force, Air Force 1 Low Retro DSM White, 130, 189, 164, 26.15
Air Force, Air Force 1 Low Roc-A-Fella (AF100), 150, 931, 154, 2.67
Air Force, Air Force 1 Low Rose Velvet, 130, 223, 111, -14.62
Air Force, Air Force 1 Low Ruby Rose Force Is Female Port Wine (W), 100, 2, 70, -30
Air Force, Air Force 1 Low Scarface, 90, 4, 165, 83.33
Air Force, Air Force 1 Low Sheed Blue Jay, 90, 9, 136, 51.11
Air Force, Air Force 1 Low Sheed Varsity Red, 80, 5, 195, 143.75
Air Force, Air Force 1 Low Skeleton Halloween (2018), 130, 1260, 162, 24.62
Air Force, Air Force 1 Low Slam Jam Red, 150, 1, 225, 50
Air Force, Air Force 1 Low Snake Pack Dark Stucco, 105, 1, 80, -23.81
Air Force, Air Force 1 Low Snakeskin Anaconda, 2000, 4, 999, -50.05
Air Force, Air Force 1 Low Snakeskin Lakers, 95, 4, 70, -26.32
Air Force, Air Force 1 Low Split Grey Red, 130, 14, 98, -24.62
Air Force, Air Force 1 Low Split White Black, 130, 7, 191, 46.92
Air Force, Air Force 1 Low Sport NBA Black Blue Gale Laser Fuchsia, 100, 55, 95, -5
Air Force, Air Force 1 Low Sport NBA Black White, 100, 14, 71, -29
Air Force, Air Force 1 Low Sport NBA Deep Royal University Gold, 110, 6, 77, -30
Air Force, Air Force 1 Low Sport NBA University Gold, 100, 16, 98, -2
Air Force, Air Force 1 Low Sport NBA Varsity Red, 100, 21, 77, -23
Air Force, Air Force 1 Low Sport NBA White Black, 100, 25, 88, -12
Air Force, Air Force 1 Low St. Patrick's Day (2006), 120, 8, 157, 30.83
Air Force, Air Force 1 Low Stars White (W), 110, 16, 142, 29.09
Air Force, Air Force 1 Low Stash IO Premium, 180, 10, 302, 67.78
Air Force, Air Force 1 Low Summit White Metallic Gold (GS), 75, 6, 65, -13.33
Air Force, Air Force 1 Low Supreme Black, 128, 9, 594, 364.06
Air Force, Air Force 1 Low Supreme Camouflage, 128, 15, 505, 294.53
Air Force, Air Force 1 Low Supreme Comme des Garcons Shirt, 228, 104, 609, 167.11
Air Force, Air Force 1 Low Supreme Gold Medal, 200, 8, 120, -40
Air Force, Air Force 1 Low Supreme New Six LeBron James, 250, 14, 211, -15.6
Air Force, Air Force 1 Low Supreme Olive, 128, 5, 445, 247.66
Air Force, Air Force 1 Low Supreme Safari, 145, 4, 143, -1.38
Air Force, Air Force 1 Low Supreme x Comme des Garcons (2018), 165, 3621, 298, 80.61
Air Force, Air Force 1 Low Swoosh Pack All-Star 2018 (Black), 110, 819, 175, 59.09
Air Force, Air Force 1 Low Swoosh Pack All-Star 2018 (Sail), 110, 990, 183, 66.36
Air Force, Air Force 1 Low Swoosh Pack All-Star 2018 (White), 110, 1147, 196, 78.18
Air Force, Air Force 1 Low Swoosh Pack All-Star 2018 White (GS), 95, 169, 156, 64.21
Air Force, Air Force 1 Low Taiwan (2018), 130, 623, 232, 78.46
Air Force, Air Force 1 Low Tartan White (W), 100, 7, 187, 87
Air Force, Air Force 1 Low Think 16 (Fo Fi Fo), 130, 157, 111, -14.62
Air Force, Air Force 1 Low Tisci Black, 230, 9, 338, 46.96
Air Force, Air Force 1 Low Tisci Tan, 230, 16, 265, 15.22
Air Force, Air Force 1 Low Tisci White, 230, 11, 385, 67.39
Air Force, Air Force 1 Low Travis Scott (AF100), 150, 591, 555, 270
Air Force, Air Force 1 Low Travis Scott Sail, 150, 9607, 313, 108.67
Air Force, Air Force 1 Low Triple White Leather Woven (GS), 85, 2, 43, -49.41
Air Force, Air Force 1 Low UNDFTD Green Bean, 180, 1, 75, -58.33
Air Force, Air Force 1 Low UNDFTD Green-Olive, 150, 2, 138, -8
Air Force, Air Force 1 Low Ultra Robert Kraft Patriots, 140, 44, 317, 126.43
Air Force, Air Force 1 Low UltraForce N7, 120, 25, 92, -23.33
Air Force, Air Force 1 Low Ultraforce RKK Patriots, 150, 22, 158, 5.33
Air Force, Air Force 1 Low Ultraviolet Siren Red, 100, 5, 52, -48
