brand, name, retail_price, total_sales, avg_sale_price
Jordan, Jordan 13 Retro Altitude (2017), 190, 1157, 143
Adidas, adidas Ultra Boost 2.0 Multi-Color, 180, 1606, 219
Adidas, adidas NMD Hu Pharrell Inspiration Pack Powder Blue, 250, 1358, 195
Nike, LeBron 15 Rust Pink, 185, 683, 181
Jordan, Jordan 10 Retro Russell Westbrook Class of 2006, 190, 889, 159
Jordan, Jordan 6 Retro Sport Blue (2014), 170, 628, 190
Jordan, Jordan 4 Retro Columbia (2015), 190, 776, 199
Adidas, adidas Human Race NMD Pharrell Holi Festival (Chalk Coral), 250, 4187, 349
Nike, Air Max 97 Country Camo (USA), 180, 568, 152
Jordan, Jordan 3 Retro Black Cement (2018), 200, 22834, 242
Adidas, adidas Yeezy Boost 350 V2 Semi Frozen Yellow, 220, 14075, 326
Jordan, Jordan 12 Retro French Blue (2016), 190, 1104, 237
Jordan, Jordan 1 Retro Chicago (2015), 160, 870, 644
Adidas, adidas Ultra Boost 4.0 A Ma Maniere x Invincible Cashmere Wool, 200, 774, 220
Jordan, Jordan 5 Retro Paris Saint-Germain, 225, 3436, 252
Nike, Air VaporMax 97 Grape, 190, 646, 142
Nike, Air Max 1 Just Do It Pack Orange, 130, 790, 154
Jordan, Jordan 1 Retro High Bred Toe, 160, 18637, 311
Nike, Air Max 1 Atmos Elephant (2017), 150, 509, 524
Adidas, adidas Ultra Boost 2.0 Gold Medal, 200, 511, 203
Jordan, Jordan 5 Retro P51 Camo, 190, 821, 142
Jordan, Jordan 1 Mid Reverse New Love, 110, 552, 121
Nike, Air Force 1 Low Just Do It Pack Total Orange, 130, 1027, 143
Nike, Kyrie 4 Day of the Dead, 130, 626, 149
Nike, Nike SF Air Force 1 High Triple Black, 185, 632, 115
Nike, Air Foamposite One Royal Blue XX 20th Anniversary (2017), 230, 650, 226
Nike, Air Force 1 Low Taiwan (2018), 130, 623, 232
Nike, Air Foamposite Pro Black Metallic Gold, 230, 947, 204
Nike, Nike Blazer Mid LA vs. NYC, 120, 578, 142
Jordan, Jordan 1 Retro High Pine Green (GS), 120, 2171, 268
Adidas, adidas Yeezy Boost 350 V2 Static Reflective, 220, 11362, 465
Jordan, Jordan 1 Retro Bred 2016 "Banned" (GS), 120, 654, 284
Nike, Air Force 1 Low Swoosh Pack All-Star 2018 (Black), 110, 819, 175
Nike, Nike SB Dunk High Premier Win Some Lose Some, 110, 747, 147
Nike, Air Max 97 South Beach, 160, 2252, 199
Adidas, adidas NMD R1 A Ma Maniere x Invincible Cashmere Wool, 180, 540, 170
Nike, Air Max 95 OG Solar Red (2018), 160, 1557, 135
Jordan, Jordan 11 Retro Cap and Gown, 250, 11281, 322
Nike, Air Force 1 Low Off-White Volt, 170, 3947, 391
Jordan, Jordan 11 Retro Win Like 96, 220, 6700, 248
Jordan, Jordan 6 Retro Infrared Black (2014), 185, 1703, 285
Other, Converse Chuck Taylor All-Star 70s Hi Midnight Studios, 120, 541, 195
Jordan, Jordan 12 Retro Winter Black, 200, 2023, 212
Nike, Air Force 1 Low A Cold Wall White, 190, 1046, 246
Adidas, adidas NMD R1 Core Black Carbon, 130, 970, 114
Jordan, Jordan 12 Retro International Flight (GS), 140, 516, 118
Adidas, adidas Ultra Tech Dragon Ball Z Vegeta, 160, 1486, 222
Jordan, Jordan 5 Retro Black Metallic (2016), 220, 1883, 241
Nike, Nike M2K Tekno White Black Orange (W), 100, 726, 169
Jordan, Jordan 2 Retro Melo (2018), 190, 678, 181
Nike, Air Zoom Generation SVSM Retro, 175, 1656, 215
Nike, Air Max 270 Light Bone Hot Punch, 150, 1382, 181
Adidas, adidas Ultra Boost 4.0 Triple White (W), 180, 511, 145
Jordan, Jordan 11 Retro Heiress Black Stingray (GS), 220, 1568, 164
Nike, Air Max 97 Plus Layer Cake, 175, 612, 168
Adidas, adidas COPA ACE 16+ Purecontrol Ultra Boost Kith Golden Goal, 220, 1190, 193
Adidas, adidas NMD R1 Colour Static Rainbow, 170, 688, 176
Adidas, adidas Ultra Boost 1.0 Cream White, 200, 2966, 198
Adidas, adidas NMD Hu Pharrell x Billionaire Boys Club Multi-Color, 250, 3818, 264
Adidas, adidas Human Race NMD Pharrell Holi Festival (Core Black), 250, 4325, 406
Nike, Air Max 270 Triple Black, 150, 866, 136
Nike, Nike PG 2.5 Playstation Wolf Grey, 110, 6134, 152
Adidas, adidas Yeezy 700 Mauve, 300, 14588, 299
Adidas, adidas Yeezy Boost 350 V2 Core Black White, 220, 1697, 708
Jordan, Jordan 5 Retro Wings (GS), 160, 569, 219
Nike, Air VaporMax Triple Black 3.0, 190, 739, 269
Nike, Air More Uptempo White Varsity Red Outline, 160, 683, 155
Adidas, adidas Yeezy Boost 350 V2 Core Black Copper, 220, 722, 646
